temp,humidity,visibility,pressure,wind_speed,system_datetime,latest_report
32°C,29%,10000m,1014.0mb,13 Km/h,14:37:33 15/10/2021,7m ago(14:30 Local time)
32°C,29%,10000m,1014.0mb,13 Km/h,14:37:38 15/10/2021,7m ago(14:30 Local time)
32°C,29%,10000m,1014.0mb,13 Km/h,14:37:44 15/10/2021,7m ago(14:30 Local time)
32°C,29%,10000m,1014.0mb,13 Km/h,14:37:49 15/10/2021,7m ago(14:30 Local time)
32°C,29%,10000m,1014.0mb,13 Km/h,14:37:55 15/10/2021,8m ago(14:30 Local time)
32°C,29%,10000m,1014.0mb,13 Km/h,14:38:01 15/10/2021,8m ago(14:30 Local time)
32°C,29%,10000m,1014.0mb,13 Km/h,14:38:06 15/10/2021,8m ago(14:30 Local time)
32°C,29%,10000m,1014.0mb,13 Km/h,14:38:12 15/10/2021,8m ago(14:30 Local time)
32°C,29%,10000m,1014.0mb,13 Km/h,14:38:17 15/10/2021,8m ago(14:30 Local time)
32°C,29%,10000m,1014.0mb,13 Km/h,14:38:23 15/10/2021,8m ago(14:30 Local time)
